Date,Demand
01-07-2019,10000
02-07-2019,14000
03-07-2019,10000
04-07-2019,8000
05-07-2019,8000
06-07-2019,10000
07-07-2019,10000
08-07-2019,1050
09-07-2019,1550
10-07-2019,1300
11-07-2019,1100
12-07-2019,1700
13-07-2019,1200
14-07-2019,1600
15-07-2019,1000
16-07-2019,2000
17-07-2019,1700
18-07-2019,1600
19-07-2019,1000
20-07-2019,1750
21-07-2019,1575
22-07-2019,1500
23-07-2019,1750
24-07-2019,1050
25-07-2019,1550
26-07-2019,1700
27-07-2019,1600
28-07-2019,1875
29-07-2019,1875
30-07-2019,1700
31-07-2019,1050
01-08-2019,10000
02-08-2019,14000
03-08-2019,10000
04-08-2019,8000
05-08-2019,8000
06-08-2019,10000
07-08-2019,10000
08-08-2019,1050
09-08-2019,1550
10-08-2019,1300
11-08-2019,1100
12-08-2019,1700
13-08-2019,1200
14-08-2019,1600
15-08-2019,1000
16-08-2019,2000
17-08-2019,1700
18-08-2019,1600
19-08-2019,1000
20-08-2019,1750
21-08-2019,1575
22-08-2019,1500
23-08-2019,1750
24-08-2019,1050
25-08-2019,1550
26-08-2019,1700
27-08-2019,1600
28-08-2019,1875
29-08-2019,1875
30-08-2019,1700
31-08-2019,1050
01-09-2019,10000
02-09-2019,14000
03-09-2019,10000
04-09-2019,8000
05-09-2019,8000
06-09-2019,10000
07-09-2019,10000
08-09-2019,1050
09-09-2019,1550
10-09-2019,1300
11-09-2019,1100
12-09-2019,1700
13-09-2019,1200
14-09-2019,1600
15-09-2019,1000
16-09-2019,2000
17-09-2019,1700
18-09-2019,1600
19-09-2019,1000
20-09-2019,1750
21-09-2019,1575
22-09-2019,1500
23-09-2019,1750
24-09-2019,1050
25-09-2019,1550
26-09-2019,1700
27-09-2019,1600
28-09-2019,1875
29-09-2019,1875
30-09-2019,1700
01-10-2019,10000
02-10-2019,14000
03-10-2019,10000
04-10-2019,8000
05-10-2019,8000
06-10-2019,10000
07-10-2019,10000
08-10-2019,1050
09-10-2019,1550
10-10-2019,1300
11-10-2019,1100
12-10-2019,1700
13-10-2019,1200
14-10-2019,1600
15-10-2019,1000
16-10-2019,2000
17-10-2019,1700
18-10-2019,1600
19-10-2019,1000
20-10-2019,1750
21-10-2019,1575
22-10-2019,1500
23-10-2019,1750
24-10-2019,1050
25-10-2019,1550
26-10-2019,1700
27-10-2019,1600
28-10-2019,1875
29-10-2019,1875
30-10-2019,1700
31-10-2019,1050
01-11-2019,10000
02-11-2019,14000
03-11-2019,10000
04-11-2019,8000
05-11-2019,8000
06-11-2019,10000
07-11-2019,10000
08-11-2019,1050
09-11-2019,1550
10-11-2019,1300
11-11-2019,1100
12-11-2019,1700
13-11-2019,1200
14-11-2019,1600
15-11-2019,1000
16-11-2019,2000
17-11-2019,1700
18-11-2019,1600
19-11-2019,1000
20-11-2019,1750
21-11-2019,1575
22-11-2019,1500
23-11-2019,1750
24-11-2019,1050
25-11-2019,1550
26-11-2019,1700
27-11-2019,1600
28-11-2019,1875
29-11-2019,1875
30-11-2019,1700
01-12-2019,10000
02-12-2019,14000
03-12-2019,10000
04-12-2019,8000
05-12-2019,8000
06-12-2019,10000
07-12-2019,10000
08-12-2019,1050
09-12-2019,1550
10-12-2019,1300
11-12-2019,1100
12-12-2019,1700
13-12-2019,1200
14-12-2019,1600
15-12-2019,1000
16-12-2019,2000
17-12-2019,1700
18-12-2019,1600
19-12-2019,1000
20-12-2019,1750
21-12-2019,1575
22-12-2019,1500
23-12-2019,1750
24-12-2019,1050
25-12-2019,1550
26-12-2019,1700
27-12-2019,1600
28-12-2019,1875
29-12-2019,1875
30-12-2019,1700
31-12-2019,1050
01-01-2020,10000
02-01-2020,14000
03-01-2020,10000
04-01-2020,8000
05-01-2020,8000
06-01-2020,10000
07-01-2020,10000
08-01-2020,1050
09-01-2020,1550
10-01-2020,1300
11-01-2020,1100
12-01-2020,1700
13-01-2020,1200
14-01-2020,1600
15-01-2020,1000
16-01-2020,2000
17-01-2020,1700
18-01-2020,1600
19-01-2020,1000
20-01-2020,1750
21-01-2020,1575
22-01-2020,1500
23-01-2020,1750
24-01-2020,1050
25-01-2020,1550
26-01-2020,1700
27-01-2020,1600
28-01-2020,1875
29-01-2020,1875
30-01-2020,1700
31-01-2020,1050
01-02-2020,10000
02-02-2020,14000
03-02-2020,10000
04-02-2020,8000
05-02-2020,8000
06-02-2020,10000
07-02-2020,10000
08-02-2020,1050
09-02-2020,1550
10-02-2020,1300
11-02-2020,1100
12-02-2020,1700
13-02-2020,1200
14-02-2020,1600
15-02-2020,1000
16-02-2020,2000
17-02-2020,1700
18-02-2020,1600
19-02-2020,1000
20-02-2020,1750
21-02-2020,1575
22-02-2020,1500
23-02-2020,1750
24-02-2020,1050
25-02-2020,1550
26-02-2020,1700
27-02-2020,1600
28-02-2020,1875
29-02-2020,1050
01-03-2020,10000
02-03-2020,14000
03-03-2020,10000
04-03-2020,8000
05-03-2020,8000
06-03-2020,10000
07-03-2020,10000
08-03-2020,1050
09-03-2020,1550
10-03-2020,1300
11-03-2020,1100
12-03-2020,1700
13-03-2020,1200
14-03-2020,1600
15-03-2020,1000
16-03-2020,2000
17-03-2020,1700
18-03-2020,1600
19-03-2020,1000
20-03-2020,1750
21-03-2020,1575
22-03-2020,1500
23-03-2020,1750
24-03-2020,1050
25-03-2020,1550
26-03-2020,1700
27-03-2020,1600
28-03-2020,1875
29-03-2020,1875
