DATE,DEMAND
2019-07-01,500
2019-07-02,800
2019-07-03,500
2019-07-04,100
2019-07-05,300
2019-07-06,100
2019-07-07,1000
2019-07-08,1000
2019-07-09,500
2019-07-10,700
2019-07-11,100
2019-07-12,700
2019-07-13,300
2019-07-14,1200
2019-07-15,500
2019-07-16,900
2019-07-17,500
2019-07-18,100
2019-07-19,500
2019-07-20,1000
2019-07-21,1500
2019-07-22,500
2019-07-23,350
2019-07-24,1000
2019-07-25,500
2019-07-26,700
2019-07-27,1200
2019-07-28,700
2019-07-29,575
2019-07-30,500
2019-07-31,375
2019-08-01,500
2019-08-02,800
2019-08-03,500
2019-08-04,100
2019-08-05,300
2019-08-06,100
2019-08-07,1000
2019-08-08,1000
2019-08-09,500
2019-08-10,700
2019-08-11,100
2019-08-12,700
2019-08-13,300
2019-08-14,1200
2019-08-15,500
2019-08-16,900
2019-08-17,500
2019-08-18,100
2019-08-19,500
2019-08-20,1000
2019-08-21,1500
2019-08-22,500
2019-08-23,350
2019-08-24,1000
2019-08-25,500
2019-08-26,700
2019-08-27,1200
2019-08-28,700
2019-08-29,575
2019-08-30,500
2019-08-31,375
2019-09-01,500
2019-09-02,800
2019-09-03,500
2019-09-04,100
2019-09-05,300
2019-09-06,100
2019-09-07,1000
2019-09-08,1000
2019-09-09,500
2019-09-10,700
2019-09-11,100
2019-09-12,700
2019-09-13,300
2019-09-14,1200
2019-09-15,500
2019-09-16,900
2019-09-17,500
2019-09-18,100
2019-09-19,500
2019-09-20,1000
2019-09-21,1500
2019-09-22,500
2019-09-23,350
2019-09-24,1000
2019-09-25,500
2019-09-26,700
2019-09-27,1200
2019-09-28,700
2019-09-29,575
2019-09-30,500
2019-10-01,500
2019-10-02,800
2019-10-03,500
2019-10-04,100
2019-10-05,300
2019-10-06,100
2019-10-07,1000
2019-10-08,1000
2019-10-09,500
2019-10-10,700
2019-10-11,100
2019-10-12,700
2019-10-13,300
2019-10-14,1200
2019-10-15,500
2019-10-16,900
2019-10-17,500
2019-10-18,100
2019-10-19,500
2019-10-20,1000
2019-10-21,1500
2019-10-22,500
2019-10-23,350
2019-10-24,1000
2019-10-25,500
2019-10-26,700
2019-10-27,1200
2019-10-28,700
2019-10-29,575
2019-10-30,500
2019-10-31,375
2019-11-01,500
2019-11-02,800
2019-11-03,500
2019-11-04,100
2019-11-05,300
2019-11-06,100
2019-11-07,1000
2019-11-08,1000
2019-11-09,500
2019-11-10,700
2019-11-11,100
2019-11-12,700
2019-11-13,300
2019-11-14,1200
2019-11-15,500
2019-11-16,900
2019-11-17,500
2019-11-18,100
2019-11-19,500
2019-11-20,1000
2019-11-21,1500
2019-11-22,500
2019-11-23,350
2019-11-24,1000
2019-11-25,500
2019-11-26,700
2019-11-27,1200
2019-11-28,700
2019-11-29,575
2019-11-30,500
2019-12-01,500
2019-12-02,800
2019-12-03,500
2019-12-04,100
2019-12-05,300
2019-12-06,100
2019-12-07,1000
2019-12-08,1000
2019-12-09,500
2019-12-10,700
2019-12-11,100
2019-12-12,700
2019-12-13,300
2019-12-14,1200
2019-12-15,500
2019-12-16,900
2019-12-17,500
2019-12-18,100
2019-12-19,500
2019-12-20,1000
2019-12-21,1500
2019-12-22,500
2019-12-23,350
2019-12-24,1000
2019-12-25,500
2019-12-26,700
2019-12-27,1200
2019-12-28,700
2019-12-29,575
2019-12-30,500
2019-12-31,375
2020-01-01,500
2020-01-02,800
2020-01-03,500
2020-01-04,100
2020-01-05,300
2020-01-06,100
2020-01-07,1000
2020-01-08,1000
2020-01-09,500
2020-01-10,700
2020-01-11,100
2020-01-12,700
2020-01-13,300
2020-01-14,1200
2020-01-15,500
2020-01-16,900
2020-01-17,500
2020-01-18,100
2020-01-19,500
2020-01-20,1000
2020-01-21,1500
2020-01-22,500
2020-01-23,350
2020-01-24,1000
2020-01-25,500
2020-01-26,700
2020-01-27,1200
2020-01-28,700
2020-01-29,575
2020-01-30,500
2020-01-31,375
2020-02-01,500
2020-02-02,800
2020-02-03,500
2020-02-04,100
2020-02-05,300
2020-02-06,100
2020-02-07,1000
2020-02-08,1000
2020-02-09,500
2020-02-10,700
2020-02-11,100
2020-02-12,700
2020-02-13,300
2020-02-14,1200
2020-02-15,500
2020-02-16,900
2020-02-17,500
2020-02-18,100
2020-02-19,500
2020-02-20,1000
2020-02-21,1500
2020-02-22,500
2020-02-23,350
2020-02-24,1000
2020-02-25,500
2020-02-26,700
2020-02-27,1200
2020-02-28,700
2020-02-29,575
2020-03-01,500
2020-03-02,800
2020-03-03,500
2020-03-04,100
2020-03-05,300
2020-03-06,100
2020-03-07,1000
2020-03-08,1000
2020-03-09,500
2020-03-10,700
2020-03-11,100
2020-03-12,700
2020-03-13,300
2020-03-14,1200
2020-03-15,500
2020-03-16,900
2020-03-17,500
2020-03-18,100
2020-03-19,500
2020-03-20,1000
2020-03-21,1500
2020-03-22,500
2020-03-23,350
2020-03-24,1000
2020-03-25,500
2020-03-26,700
2020-03-27,1200
2020-03-28,700
2020-03-29,575
2020-03-30,500
2020-03-31,375
2020-04-01,500
2020-04-02,800
2020-04-03,500
2020-04-04,100
2020-04-05,300
2020-04-06,100
2020-04-07,1000
2020-04-08,1000
2020-04-09,500
2020-04-10,700
2020-04-11,100
2020-04-12,700
2020-04-13,300
2020-04-14,1200
2020-04-15,500
2020-04-16,900
2020-04-17,500
2020-04-18,100
2020-04-19,500
2020-04-20,1000
2020-04-21,1500
2020-04-22,500
2020-04-23,350
2020-04-24,1000
2020-04-25,500
2020-04-26,700
2020-04-27,1200
2020-04-28,700
2020-04-29,575
2020-04-30,500
2020-05-01,500
2020-05-02,800
2020-05-03,500
2020-05-04,100
2020-05-05,300
2020-05-06,100
2020-05-07,1000
2020-05-08,1000
2020-05-09,500
2020-05-10,700
2020-05-11,100
2020-05-12,700
2020-05-13,300
2020-05-14,1200
2020-05-15,500
2020-05-16,900
2020-05-17,500
2020-05-18,100
2020-05-19,500
2020-05-20,1000
2020-05-21,1500
2020-05-22,500
2020-05-23,350
2020-05-24,1000
2020-05-25,500
2020-05-26,700
2020-05-27,1200
2020-05-28,700
2020-05-29,575
2020-05-30,500
2020-05-31,375
2020-06-01,500
2020-06-02,800
2020-06-03,500
2020-06-04,100
2020-06-05,300
2020-06-06,100
2020-06-07,1000
2020-06-08,1000
2020-06-09,500
2020-06-10,700
2020-06-11,100
2020-06-12,700
2020-06-13,300
2020-06-14,1200
